CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,Country,Tenure,AvgOrderValue
12346,326,3,77352.96,2010-03-02 13:08:00,2011-01-18 10:01:00,United Kingdom,321,25784.32
12347,2,8,4921.53,2010-10-31 14:20:00,2011-12-07 15:52:00,Iceland,402,615.19
12348,75,5,1658.3999999999999,2010-09-27 14:59:00,2011-09-25 13:13:00,Finland,362,331.68
12349,19,3,3678.69,2010-04-29 13:20:00,2011-11-21 09:51:00,Italy,570,1226.23
12350,310,1,294.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0,294.4
12351,375,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,Unspecified,0,300.93
12352,36,9,1729.54,2010-11-12 10:20:00,2011-11-03 14:37:00,Norway,356,192.17
12353,204,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,Bahrain,204,203.38
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0,1079.4
12355,214,2,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,Bahrain,353,473.8
12356,23,6,5611.73,2010-10-11 09:42:00,2011-11-17 08:40:00,Portugal,401,935.29
12357,33,2,17437.66,2010-11-16 10:05:00,2011-11-06 16:07:00,Switzerland,355,8718.83
12358,2,5,3447.07,2009-12-08 07:59:00,2011-12-08 10:26:00,Austria,730,689.41
12359,58,10,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,Cyprus,676,887.34
12360,52,6,3612.89,2010-02-22 09:32:00,2011-10-18 15:22:00,Austria,603,602.15
12361,287,4,451.25,2010-01-26 14:37:00,2011-02-25 13:51:00,Belgium,394,112.81
12362,3,10,4737.23,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,292,473.72
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,132,276.0
12364,8,4,1208.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,104,302.02
12365,291,1,320.69,2011-02-21 13:51:00,2011-02-21 13:51:00,Cyprus,0,320.69
12366,634,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,Cyprus,0,500.24
12367,4,1,150.9,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0,150.9
12368,628,1,917.6999999999999,2010-03-21 15:56:00,2010-03-21 15:56:00,Cyprus,0,917.7
12369,413,3,1511.15,2010-03-08 08:09:00,2010-10-22 13:13:00,Austria,228,503.72
12370,51,7,3956.56,2010-02-09 09:41:00,2011-10-19 14:51:00,Cyprus,617,565.22
12371,60,4,3347.38,2010-03-04 18:23:00,2011-10-11 10:43:00,Switzerland,585,836.84
12372,72,3,1196.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,224,398.68
12373,311,3,927.6500000000001,2010-02-04 12:08:00,2011-02-01 13:10:00,Austria,362,309.22
12374,25,3,2669.22,2010-04-30 14:01:00,2011-11-14 15:37:00,Austria,563,889.74
12375,11,2,377.5,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,87,188.75
12376,390,2,383.15,2010-10-18 08:42:00,2010-11-15 12:15:00,Switzerland,28,191.58
12377,315,4,3266.32,2010-04-29 15:34:00,2011-01-28 15:45:00,Switzerland,274,816.58
12378,130,2,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,Switzerland,432,2708.16
12379,82,4,1470.22,2010-06-23 12:49:00,2011-09-19 10:09:00,Belgium,452,367.56
